store,friendly name,city,state,zip,address,
1914,Dedham,Dedham,MA,2026,306 Providence Highway,
1916,Hadley,Hadley,MA,1035,282 Russell St,
1917,Farmingdale,Farmingdale,NY,11735,90 Price Pkwy,
1920,E. Charlotte,Charlotte,NC,28227,8826 Albemarle Rd,
1922,Marion,Marion,NC,28752,480 U.S. 70 West,
1923,C. Louisville,Louisville,KY,40218,2100 Bashford Manor Ln,
1924,Marianna,Marianna,FL,32448,4860 Malloy Plaza,
1925,Cornelia,Cornelia,GA,30531,281 Carpenters Cove Ln,
1926,Redding,Redding,CA,96002,1200 East Cypress Ave,
1932,Seekonk,Seekonk,MA,2771,1000 Fall River Ave,
1933,Yuba City,Yuba City,CA,95993,935 Tharp Rd,
1934,Mt. Pocono,Mount Pocono,PA,18344,3207 Route 940,
1935,N.E. Sarasota,Sarasota,FL,34232,5750 Fruitville Rd,
1937,Jersey City,Jersey City,NJ,7304,727 Route 440,
1938,Hackettstown,Hackettstown,NJ,7840,217 Mountain Ave,
1939,Union,Union,NJ,7083,1721 Morris Ave,
1940,Bangor,Bangor,ME,4401,70 Springer Dr,
1941,Oxnard,Oxnard,CA,93036,301 West Gonzales Rd,
1942,E. Rutherford,E. Rutherford,NJ,7073,150 Route 17 North,
1944,Somerset,Somerset,PA,15501,1730 North Center Ave,
1945,Deland,Deland,FL,32724,303 International Speedway Blvd,
1946,Portland,Portland,ME,4102,1058 Brighton Ave,
1948,Bee Cave,Bee Cave,TX,78738,12611 Suite 100 Shops Pkwy,
1952,Matamoras,Matamoras,PA,18336,115 Wenlock Rd,
1953,Cortlandville,Cortland,NY,13045,872 Route 13,
1955,Plymouth,Plymouth,MN,55447,3205 Vicksburg Ln North,
1956,Plymouth,Plymouth,IN,46563,1100 Pilgrim Ln,
1957,Butler,Butler,NJ,7405,1210 Route 23 North,
1958,Madison,Madison,GA,30650,1821 Eatonton Highway,
1959,Bluefield,Bluefield,VA,24605,515 Commerce Dr,
1962,West Palm Beach,West Palm Beach,FL,33417,4701 Okeechobee Blvd,
1965,Lindale,Lindale,TX,75771,3200 South Main St,
1966,Maplewood,Maplewood,MO,63143,2300 Maplewood Commons Dr,
1967,Oneonta,Oneonta,NY,13820,5283 State Highway 23,
1968,S.E. Shreveport,Shreveport,LA,71105,7301 Youree Dr,
1969,Weatherford,Weatherford,TX,76087,118 Interstate 20 East,
1971,Simi Valley,Simi Valley,CA,93065,1275 Simi Town Center Way,
1972,E. Santa Clarita,Santa Clarita,CA,91321,19001 Golden Valley Rd,
1973,Albany-northway Mall,Colonie,NY,12205,1482 Central Ave,
1976,Hampton Township,Newton,NJ,7860,39 Hampton House Rd,
1979,Seabrook,Seabrook,NH,3874,417 Lafayette Rd,
